Date,Open,High,Low,Close,Volume,Adj Close
2015-12-09,6135.200195,6175.799805,6101.200195,6126.700195,751852900,6126.700195
2015-12-08,6223.50,6224.899902,6120.700195,6135.200195,790574400,6135.200195
2015-12-07,6238.299805,6287.200195,6215.200195,6223.50,542255600,6223.50
2015-12-04,6275.00,6277.600098,6219.50,6238.299805,662790200,6238.299805
2015-12-03,6420.899902,6444.700195,6275.00,6275.00,793356800,6275.00
2015-12-02,6395.700195,6447.299805,6395.200195,6420.899902,566098900,6420.899902
2015-12-01,6356.100098,6402.399902,6356.100098,6395.700195,784743400,6395.700195
2015-11-30,6375.200195,6387.100098,6329.899902,6356.100098,834458200,6356.100098
2015-11-27,6393.100098,6393.100098,6345.299805,6375.200195,471764000,6375.200195
2015-11-26,6337.600098,6395.299805,6333.899902,6393.100098,000,6393.100098
2015-11-25,6277.200195,6348.100098,6277.200195,6337.600098,673258600,6337.600098
2015-11-24,6305.50,6305.50,6221.299805,6277.200195,854059000,6277.200195
2015-11-23,6334.600098,6334.600098,6267.100098,6305.50,585321500,6305.50
2015-11-20,6329.899902,6360.700195,6311.799805,6334.600098,808632500,6334.600098
2015-11-19,6279.00,6366.899902,6279.00,6329.899902,000,6329.899902
2015-11-18,6268.799805,6283.899902,6228.200195,6279.00,615094500,6279.00
2015-11-17,6146.399902,6269.399902,6146.399902,6268.799805,697486200,6268.799805
2015-11-16,6118.299805,6161.899902,6079.799805,6146.399902,602945000,6146.399902
2015-11-13,6178.700195,6179.00,6088.799805,6118.299805,681574100,6118.299805
2015-11-12,6297.200195,6300.899902,6178.700195,6178.700195,826908500,6178.700195
2015-11-11,6275.299805,6327.200195,6272.700195,6297.200195,618113900,6297.200195
2015-11-10,6295.200195,6329.700195,6250.299805,6275.299805,725649900,6275.299805
2015-11-09,6353.799805,6380.399902,6292.100098,6295.200195,658685600,6295.200195
2015-11-06,6364.899902,6395.200195,6332.700195,6353.799805,711572600,6353.799805
2015-11-05,6412.899902,6421.799805,6358.100098,6364.899902,000,6364.899902
2015-11-04,6383.600098,6459.50,6383.00,6412.899902,759872100,6412.899902
2015-11-03,6361.799805,6383.600098,6344.700195,6383.600098,608961200,6383.600098
2015-11-02,6361.100098,6364.399902,6317.299805,6361.799805,506603500,6361.799805
2015-10-30,6395.799805,6410.299805,6337.700195,6361.100098,716340400,6361.100098
2015-10-29,6437.799805,6437.899902,6358.200195,6395.799805,826622300,6395.799805
2015-10-28,6365.299805,6448.50,6355.799805,6437.799805,000,6437.799805
2015-10-27,6417.00,6419.600098,6365.299805,6365.299805,000,6365.299805
2015-10-26,6444.100098,6453.00,6405.399902,6417.00,441044400,6417.00
2015-10-23,6376.299805,6487.899902,6376.299805,6444.100098,000,6444.100098
2015-10-22,6348.399902,6387.299805,6321.700195,6376.299805,718398200,6376.299805
